comment_id,posts_id,user_id,comment_content,comment_date
1,648,271,1E+02,12/12/2023
2,805,802,NULL,12/7/2023
3,870,240,1.00,12/19/2023
4,470,339,｀ｨ(´∀｀∩,12/28/2023
5,112,57,和製漢語,12/14/2023
6,595,694,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,12/9/2023
7,521,680,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },12/4/2023
8,564,161,␢,12/4/2023
9,567,419,​,12/23/2023
10,271,302,田中さんにあげて下さい,12/29/2023
11,122,779,¡™£¢∞§¶•ªº–≠,12/1/2023
12,205,270,₀₁₂,12/20/2023
13,666,542, test ,12/2/2023
14,684,626,0.00,12/4/2023
15,815,60,0/0,12/22/2023
16,183,45,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,12/20/2023
17,443,124,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",12/18/2023
18,47,71, test ,12/7/2023
19,121,428,1E02,12/10/2023
20,796,101,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,12/8/2023
21,327,328,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,12/27/2023
22,26,987,1,12/13/2023
23,482,196,/dev/null; touch /tmp/blns.fail ; echo,12/26/2023
24,800,257,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,12/19/2023
25,157,267,社會科學院語學研究所,12/10/2023
26,786,322,nil,12/21/2023
27,297,352,᠎,12/9/2023
28,783,768,הָיְתָהtestالصفحات التّحول,12/30/2023
29,128,134, ,12/15/2023
30,92,259,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,12/19/2023
31,214,248,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,12/30/2023
32,974,953,🐵 🙈 🙉 🙊,12/21/2023
33,775,695,`⁄€‹›ﬁﬂ‡°·‚—±,12/2/2023
34,891,594,⁦test⁧,12/2/2023
35,6,950,1/0,12/28/2023
36,656,179,ÅÍÎÏ˝ÓÔÒÚÆ☃,12/2/2023
37,461,502,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,12/17/2023
38,617,146,₀₁₂,12/21/2023
39,18,639,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,12/20/2023
40,243,404,'',12/4/2023
41,771,629,œ∑´®†¥¨ˆøπ“‘,12/1/2023
42,597,753,nil,12/11/2023
43,718,176,田中さんにあげて下さい,12/5/2023
44,68,528, test ,12/30/2023
45,302,695,😍,12/12/2023
46,737,433,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,12/20/2023
47,826,220,⁰⁴⁵,12/8/2023
48,409,844,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,12/28/2023
49,214,779,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,12/22/2023
50,485,629,😍,12/10/2023
51,790,919,<img src=x onerror=alert('hi') />,12/14/2023
52,956,942,｀ｨ(´∀｀∩,12/7/2023
53,676,554,１２３,12/2/2023
54,72,610,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,12/28/2023
55,162,254,NULL,12/3/2023
56,335,387,<svg><script>0<1>alert('XSS')</script>,12/28/2023
57,525,1000,部落格,12/27/2023
58,549,496,⁰⁴⁵,12/26/2023
59,816,648,⁦test⁧,12/10/2023
60,891,270,0/0,12/12/2023
